url,inside
https://media3.s-nbcnews.com/j/newscms/2018_04/2305621/180125-trump-netanyahu-wef-ew-347p_d48e068ed6ebe4eb19ff62928c6efb85.nbcnews-fp-320-240.jpg,N_OK
https://www.nbcnews.com/storyline/winter-olympics-2018/olympic-destroyer-malware-targeted-pyeongchang-games-firms-say-n847396,OK
https://media3.s-nbcnews.com/j/newscms/2018_06/2321781/180208-old-dog-se-326p_a6ae569906334ca4cda0a3a362211594.nbcnews-fp-480-320.jpg,N_OK
https://media1.s-nbcnews.com/j/newscms/2018_06/2323346/180209-immigration-rally-mn-1410_677139de860c14d63c9a68e9196c3b09.nbcnews-fp-320-240.jpg,N_OK
https://nodeassets.nbcnews.com/images/transparent-placeholder.gif,N_OK
https://media4.s-nbcnews.com/j/msnbc/components/video/201802/d_ov_floridaoranges_180206.nbcnews-fp-320-240.jpg,N_OK
https://www.nbcnews.com/politics/national-security,OK
https://media2.s-nbcnews.com/j/newscms/2018_06/2321966/180208-vegas-casino-betting-451p-rs_19c20ab9d7876d9b8231e3cb5c681738.nbcnews-fp-320-240.jpg,N_OK
https://media3.s-nbcnews.com/j/newscms/2017_20/2005471/170519-london-city-airport-cr-0553_04_c00c3fcfa6aefc3d5c4ec9fb8c729fc2.nbcnews-fp-320-240.jpg,N_OK
https://media4.s-nbcnews.com/j/newscms/2018_07/2325526/180216-jocelyn-morffi-mn-1050_78c98b84014452980d9b79a29595be6a.nbcnews-fp-320-280.jpg,N_OK
https://media4.s-nbcnews.com/j/msnbc/components/video/201801/nn_ggu_puerto_ricos_schools_2_180127_1920x1080.nbcnews-fp-320-240.jpg,N_OK
http://www.nbcolympics.com/video/adam-rippons-olympic-debut-was-worth-wait?cid=eref%3Anbcnews%3Avideo,N_OK
https://media4.s-nbcnews.com/j/newscms/2018_06/2318086/180206-mandela-ramaphosa-mc-1213_a79e4c9d135befbe0473ffc0db6af081.nbcnews-fp-320-240.jpg,N_OK
https://www.nbcuniversal.com/privacy/full-privacy-policy/,N_OK
https://media2.s-nbcnews.com/j/newscms/2018_06/2324346/180210-valentines-day-514p-rs_723ed19ede7dd73d46b3005753c995be.nbcnews-fp-320-280.jpg,N_OK
https://www.nbcnews.com/news/us-news/ivy-league-glee-club-ends-decades-old-gender-restrictions-n846936,OK
https://www.nbcnews.com/news/latino/new-head-u-s-embassy-cuba-philiip-goldberg-faces-critical-n846491,OK
https://www.nbcnews.com/politics/congress,OK
https://media1.s-nbcnews.com/j/newscms/2018_07/2325966/180212-obama-portrait-mn-1400_b55df2b4b9a5177051647426493ee016.nbcnews-fp-320-240.jpg,N_OK
https://nbcnews.weather.com/?cm_cat=TextLogo&cm_ite=HomePage&cm_pla=WxModule&cm_ven=nbcnews&par=nbcnews&site=nbcnews.com,N_OK
https://www.nbcnews.com/mach,OK
https://www.nbcnews.com/health/womens-health,OK
https://www.nbcnews.com/better/business/wellness-new-status-symbol-here-s-how-tap-it-cheap-ncna847196,OK
https://www.nbcnews.com/feature/nbc-asian-america-making-of-an-olympian,OK
https://media2.s-nbcnews.com/j/msnbc/components/video/201801/nn_lho_those_who_serve_superhero_cop_180110_1920x1080.nbcnews-fp-920-360.jpg,N_OK
https://www.nbcnews.com/news/us-news/vanessa-trump-taken-hospital-precaution-after-suspicious-letter-n847231,OK
http://profootballtalk.nbcsports.com/2018/02/12/former-cowboys-fullback-reported-missing/?cid=eref%3Anbcnews%3Atext,N_OK
https://www.nbcnews.com/think/opinion/it-s-time-federal-election-commission-examine-trump-s-payment-ncna846486,OK
https://media2.s-nbcnews.com/j/newscms/2018_01/2279466/ap_17269065902979_c567a1ade4da2e5fe6abfb93fd2d5b1c.nbcnews-fp-320-240.jpg,N_OK
https://www.nbcnews.com/news/latino/kelly-s-lazy-dreamer-comment-racist-obscures-truth-daca-numbers-n845746,OK
https://www.nbcnews.com/tech/internet,OK
https://www.nbcnews.com/storyline/puerto-rico-crisis/democrats-slam-fema-multi-million-food-contract-puerto-rico-didn-n845251,OK
https://media2.s-nbcnews.com/j/newscms/2017_08/1912096/170223-larry-nassar-arraignment-1105a_234c2e69fe71f9ec9bcc26bb00e6bccb.nbcnews-fp-320-240.jpg,N_OK
https://media4.s-nbcnews.com/j/newscms/2017_51/2268626/171212-us-embassy-cuba_b4f6cc9a49aca0434ce188a919e8f7ed.nbcnews-fp-320-240.jpg,N_OK
https://www.nbcnews.com/news/us-news/larry-nassar-sent-maximum-security-federal-prison-tucson-n846666,OK
https://www.nbcnews.com/meet-the-press,OK
https://today.com/,N_OK
https://media3.s-nbcnews.com/j/newscms/2018_06/2324336/180210-purdue-pharma-503p-rs_bfa64beddeb0d9d31772a3c7afdf4f6d.nbcnews-fp-320-240.jpg,N_OK
https://media3.s-nbcnews.com/j/newscms/2018_06/2317116/180205-larry-nassar-court-njs-1008a_243e9bb78fba96ccf57a0137ca69bc70.nbcnews-fp-320-240.jpg,N_OK
https://media1.s-nbcnews.com/j/newscms/2018_07/2325426/180212-harvey-bob-weinstein-2015-njs-942a_828d05d15cb65079d2acd57371434bb2.nbcnews-fp-320-280.jpg,N_OK
https://www.nbcnews.com/opinion/opinion,OK
https://www.nbcnews.com/news/sports,OK
https://media3.s-nbcnews.com/j/newscms/2018_07/2326331/917137568-e1518473147749_dbe69f247dc6656934a092052a47a9ce.nbcnews-fp-320-240.jpg,N_OK
https://media1.s-nbcnews.com/j/newscms/2018_05/2312506/180131-blk-only-ernest-c-withers-naacp-protest-ew-440p_3c745724892155dfc882d2019df97b5f.nbcnews-fp-320-240.jpg,N_OK
https://www.nbcsports.com/,N_OK
https://www.nbcnews.com/politics/white-house/era-trump-deficits-has-begun-n847241,OK
https://media1.s-nbcnews.com/j/newscms/2018_04/2302676/180123-daca-protest-se-1214p_89a55d2e80b203bbe20a593259ecb03b.nbcnews-fp-320-240.jpg,N_OK
https://www.nbcnews.com/better/business/3-money-conversations-you-your-partner-need-have-ncna846016,OK
https://www.nbcnews.com/slideshow/glitter-glee-carnival-season-underway-around-globe-n846716,OK
https://www.nbcnews.com/politics/politics-news/barack-obama-s-presidential-portrait-be-unveiled-n847111,OK
https://media3.s-nbcnews.com/j/newscms/2018_06/2322546/180209-trump-macron-handshake_02e8bd48b75f709a8c325ce69c3e9528.nbcnews-fp-480-320.jpg,N_OK
https://media4.s-nbcnews.com/j/newscms/2018_07/2325226/180212-puerto-rico-blackout-rd-140a_013eadceaf272945bc30e3b8c8f93f15.nbcnews-fp-320-280.jpg,N_OK
https://media2.s-nbcnews.com/j/msnbc/components/video/201802/nn_netcast_180212.nbcnews-fp-320-240.jpg,N_OK
https://www.nbcnews.com/pop-culture/viral,OK
https://media3.s-nbcnews.com/j/newscms/2018_07/2326096/nickfolescatch_59ca070ab958a8d8da21a1f63a39b0ca.nbcnews-fp-320-240.jpg,N_OK
https://media2.s-nbcnews.com/j/newscms/2018_07/2325661/180212-donald-trump-mn-1230_4c0344d52875f0e9c39350184849ba8f.nbcnews-fp-320-240.jpg,N_OK
https://www.nbcnews.com/storyline/sexual-misconduct/kenneth-cole-resigns-amfar-chair-wake-weinstein-flap-n845951,OK
https://www.nbcnews.com/storyline/winter-olympics-2018/seven-black-athletes-making-history-2018-pyeongchang-winter-olympics-n845471,OK
https://www.nbcnews.com/business/your-business/grow-fast-build-business-family-hiring-right-n847226,OK
https://media2.s-nbcnews.com/j/newscms/2018_06/2320451/180207-greys-anatomy-episode-ac-521p_7fe4243bd9537f56f461b9fa95098422.nbcnews-fp-320-240.jpg,N_OK
https://media2.s-nbcnews.com/j/msnbc/components/video/201802/a_mach_olympian_sh_180211.nbcnews-fp-320-240.jpg,N_OK
https://www.nbcnews.com/politics/first-read,OK
https://www.nbcnews.com/business/consumer/no-more-lifetime-returns-l-l-bean-gives-its-legendary-n846301,OK
